Disease,Severity,Weight,Age,Breed,Temperature,Previous_Disease,Treatment,Feed_Adjustment_Percent
Dermatophilosis,0,475.6,31,AFS,38.8,Dermatophilosis,Topical Treatment + Monitoring,-3.8
Healthy,0,527.3,26,AFS,38.5,None,No Treatment Required,0.0
Pediculosis,1,415.6,69,AFS,39.4,None,Antiparasitic + Monitoring,-7.6
Mastitis,0,357.8,26,AFS,38.7,None,Anti-inflammatory + Rest,-5.9
Lumpy Skin,0,543.1,79,AFS,38.9,None,Topical Treatment + Monitoring,-5.4
FMD,1,495.2,24,AFS,39.8,Dermatophilosis,Antibiotics + Isolation,-16.8
Ringworm,0,437.8,66,AFS,38.6,None,Topical Treatment + Monitoring,-4.7
Pediculosis,1,431.8,69,AFS,39.7,None,Antiparasitic + Monitoring,-9.0
Mastitis,1,482.0,12,AFS,39.8,Dermatophilosis,Anti-inflammatory + Rest,-11.8
Mastitis,1,359.5,37,AFS,39.3,FMD,Anti-inflammatory + Rest,-13.9
Mastitis,0,368.8,73,AFS,38.9,None,Anti-inflammatory + Rest,-7.6
Ringworm,2,419.3,34,AFS,39.9,Pediculosis,Antifungal + Topical Care,-8.5
Healthy,0,424.9,30,AFS,38.6,Mastitis,No Treatment Required,0.0
Lumpy Skin,1,473.2,91,AFS,39.5,None,Antibiotics + Isolation,-14.7
FMD,2,485.4,46,AFS,40.9,None,Antiviral + Quarantine,-24.8
Lumpy Skin,1,514.1,51,AFS,39.7,None,Antibiotics + Isolation,-16.7
Pediculosis,0,357.8,46,AFS,38.7,Contagious,Antiparasitic + Monitoring,-4.5
Dermatophilosis,0,512.9,18,AFS,38.6,Contagious,Topical Treatment + Monitoring,-4.5
Lumpy Skin,0,433.6,47,AFS,38.6,FMD,Topical Treatment + Monitoring,-3.8
Contagious,1,375.5,35,AFS,39.7,None,Antibiotics + Isolation,-15.0
Pediculosis,1,500.9,41,AFS,39.7,None,Antiparasitic + Monitoring,-6.7
Mastitis,0,370.0,23,AFS,39.0,Lumpy Skin,Anti-inflammatory + Rest,-6.6
Healthy,0,540.0,63,AFS,38.6,None,No Treatment Required,0.0
Lumpy Skin,0,470.5,63,AFS,38.8,FMD,Topical Treatment + Monitoring,-3.8
Contagious,0,536.2,69,AFS,38.5,None,Antibiotics + Isolation,-8.2
Pediculosis,1,491.2,87,AFS,39.6,Lumpy Skin,Antiparasitic + Monitoring,-6.5
Mastitis,0,490.2,53,AFS,38.7,Mastitis,Anti-inflammatory + Rest,-7.4
Lumpy Skin,0,547.3,76,AFS,38.9,None,Topical Treatment + Monitoring,-3.4
Lumpy Skin,1,425.3,42,AFS,39.4,None,Antibiotics + Isolation,-14.2
Dermatophilosis,2,372.2,78,AFS,40.2,None,Antibiotics + Isolation,-17.7
Healthy,0,373.8,72,AFS,38.7,Dermatophilosis,No Treatment Required,0.0
FMD,1,542.4,74,AFS,39.4,None,Antibiotics + Isolation,-14.9
Lumpy Skin,2,352.4,43,AFS,40.7,None,Antiviral + Quarantine,-24.8
Lumpy Skin,2,364.8,30,AFS,41.4,None,Antiviral + Quarantine,-22.5
Mastitis,0,549.2,65,AFS,38.8,Pediculosis,Anti-inflammatory + Rest,-7.8
Healthy,0,541.7,27,AFS,38.7,None,No Treatment Required,0.0
Healthy,0,417.1,47,AFS,38.5,None,No Treatment Required,0.0
Dermatophilosis,0,422.1,75,AFS,38.7,None,Topical Treatment + Monitoring,-5.9
Lumpy Skin,2,486.9,40,AFS,40.0,None,Antiviral + Quarantine,-21.2
FMD,1,472.7,77,AFS,39.1,Mastitis,Antibiotics + Isolation,-14.8
Lumpy Skin,0,425.3,76,AFS,38.7,Ringworm,Topical Treatment + Monitoring,-5.5
Dermatophilosis,0,544.0,38,AFS,38.8,None,Topical Treatment + Monitoring,-6.9
Pediculosis,0,361.3,17,AFS,38.8,None,Antiparasitic + Monitoring,-3.0
FMD,1,503.8,48,AFS,39.6,None,Antibiotics + Isolation,-16.0
Contagious,0,540.8,88,AFS,38.6,Mastitis,Antibiotics + Isolation,-7.0
Dermatophilosis,0,372.7,37,AFS,38.7,None,Topical Treatment + Monitoring,-3.7
Dermatophilosis,2,460.4,16,AFS,40.0,FMD,Antibiotics + Isolation,-17.6
Pediculosis,0,501.0,25,AFS,38.9,None,Antiparasitic + Monitoring,-5.5
Healthy,0,546.1,61,AFS,38.6,None,No Treatment Required,0.0
FMD,0,495.3,49,AFS,38.7,Pediculosis,Supportive Care Only,-5.8
Dermatophilosis,2,539.9,15,AFS,40.6,Lumpy Skin,Antibiotics + Isolation,-16.9
Healthy,0,441.8,45,AFS,38.6,None,No Treatment Required,0.0
Mastitis,1,398.0,34,AFS,39.1,None,Anti-inflammatory + Rest,-13.4
Ringworm,0,489.3,36,AFS,38.9,None,Topical Treatment + Monitoring,-2.3
Dermatophilosis,1,394.8,32,AFS,39.1,None,Antibiotics + Isolation,-13.3
Lumpy Skin,1,456.9,23,AFS,39.2,None,Antibiotics + Isolation,-15.0
Lumpy Skin,0,368.5,58,AFS,38.8,None,Topical Treatment + Monitoring,-3.5
Pediculosis,0,350.5,47,AFS,38.9,Dermatophilosis,Antiparasitic + Monitoring,-5.3
Pediculosis,1,534.8,25,AFS,39.5,None,Antiparasitic + Monitoring,-8.1
Lumpy Skin,0,379.5,18,AFS,38.8,Lumpy Skin,Topical Treatment + Monitoring,-4.0
Healthy,0,371.4,49,AFS,38.6,None,No Treatment Required,0.0
Contagious,1,386.5,50,AFS,39.3,None,Antibiotics + Isolation,-14.7
Healthy,0,396.6,24,AFS,38.6,Contagious,No Treatment Required,0.0
FMD,1,445.9,45,AFS,39.4,None,Antibiotics + Isolation,-14.7
Dermatophilosis,0,422.6,37,AFS,38.8,None,Topical Treatment + Monitoring,-5.0
Mastitis,1,397.4,33,AFS,39.2,None,Anti-inflammatory + Rest,-12.0
Mastitis,0,407.0,35,AFS,38.9,None,Anti-inflammatory + Rest,-5.9
Ringworm,1,549.5,17,AFS,39.3,Ringworm,Topical Treatment + Monitoring,-6.5
Mastitis,2,448.1,62,AFS,41.2,Dermatophilosis,Antibiotics + Isolation,-19.9
Dermatophilosis,0,503.9,81,AFS,39.0,Dermatophilosis,Topical Treatment + Monitoring,-6.2
Healthy,0,398.5,58,AFS,38.7,FMD,No Treatment Required,0.0
Mastitis,1,380.9,88,AFS,39.4,None,Anti-inflammatory + Rest,-12.7
Dermatophilosis,1,459.8,13,AFS,39.3,Lumpy Skin,Antibiotics + Isolation,-13.0
Lumpy Skin,0,373.3,26,AFS,38.7,None,Topical Treatment + Monitoring,-5.6
Contagious,2,499.2,61,AFS,40.0,Dermatophilosis,Antibiotics + Isolation,-20.2
Healthy,0,425.8,12,AFS,38.7,None,No Treatment Required,0.0
Ringworm,1,515.6,25,AFS,39.6,Lumpy Skin,Topical Treatment + Monitoring,-9.3
FMD,1,454.6,15,AFS,39.3,None,Antibiotics + Isolation,-14.3
Ringworm,1,425.4,62,AFS,39.5,None,Topical Treatment + Monitoring,-8.2
Contagious,0,529.9,77,AFS,38.8,Pediculosis,Antibiotics + Isolation,-7.5
FMD,1,416.6,62,AFS,39.3,None,Antibiotics + Isolation,-13.8
Lumpy Skin,1,498.3,38,AFS,39.6,None,Antibiotics + Isolation,-15.8
Lumpy Skin,1,378.6,79,AFS,39.5,FMD,Antibiotics + Isolation,-13.5
Contagious,0,457.3,58,AFS,38.9,None,Antibiotics + Isolation,-8.4
Lumpy Skin,1,447.3,79,AFS,39.6,Dermatophilosis,Antibiotics + Isolation,-14.4
FMD,1,493.2,38,AFS,39.3,None,Antibiotics + Isolation,-13.4
Mastitis,0,434.7,57,AFS,38.8,Pediculosis,Anti-inflammatory + Rest,-7.4
Dermatophilosis,1,353.6,71,AFS,39.5,None,Antibiotics + Isolation,-10.3
Lumpy Skin,2,491.4,42,AFS,40.8,None,Antiviral + Quarantine,-22.1
Ringworm,2,532.1,12,AFS,40.0,Ringworm,Antifungal + Topical Care,-8.6
Mastitis,2,416.4,65,AFS,40.7,None,Antibiotics + Isolation,-20.4
Contagious,1,391.1,68,AFS,39.0,None,Antibiotics + Isolation,-14.4
Contagious,2,534.6,18,AFS,40.4,Dermatophilosis,Antibiotics + Isolation,-22.2
FMD,0,532.5,65,AFS,38.6,None,Supportive Care Only,-5.3
Ringworm,0,506.1,33,AFS,38.6,None,Topical Treatment + Monitoring,-2.9
Contagious,2,379.7,74,AFS,41.5,None,Antibiotics + Isolation,-21.6
Lumpy Skin,0,435.4,67,AFS,38.9,None,Topical Treatment + Monitoring,-6.2
Lumpy Skin,0,517.3,30,AFS,38.5,FMD,Topical Treatment + Monitoring,-5.2
Dermatophilosis,1,446.2,49,AFS,39.6,None,Antibiotics + Isolation,-12.7
Pediculosis,2,424.7,85,AFS,41.3,None,Antiparasitic + Monitoring,-10.8
Pediculosis,0,493.2,19,AFS,38.5,None,Antiparasitic + Monitoring,-5.1
FMD,1,469.0,78,AFS,39.7,None,Antibiotics + Isolation,-14.1
FMD,0,494.5,57,AFS,38.9,None,Supportive Care Only,-4.3
Lumpy Skin,1,414.8,93,AFS,39.0,None,Antibiotics + Isolation,-16.2
FMD,0,525.3,40,AFS,38.7,Mastitis,Supportive Care Only,-3.7
Healthy,0,417.2,13,AFS,38.5,None,No Treatment Required,0.0
Healthy,0,474.8,49,AFS,38.7,None,No Treatment Required,0.0
Lumpy Skin,0,539.7,35,AFS,38.6,None,Topical Treatment + Monitoring,-3.1
Pediculosis,1,435.0,92,AFS,39.2,None,Antiparasitic + Monitoring,-7.5
Pediculosis,0,479.0,15,AFS,38.6,Pediculosis,Antiparasitic + Monitoring,-3.2
Lumpy Skin,0,532.9,53,AFS,38.8,None,Topical Treatment + Monitoring,-4.8
Contagious,1,494.0,38,AFS,39.7,Mastitis,Antibiotics + Isolation,-13.6
Healthy,0,476.6,64,AFS,38.4,Pediculosis,No Treatment Required,0.0
Dermatophilosis,1,504.2,57,AFS,39.0,None,Antibiotics + Isolation,-11.0
FMD,0,504.2,40,AFS,38.7,None,Supportive Care Only,-5.6
Contagious,1,472.1,65,AFS,39.4,Contagious,Antibiotics + Isolation,-12.3
Lumpy Skin,1,404.0,31,AFS,39.1,Lumpy Skin,Antibiotics + Isolation,-13.6
FMD,1,416.8,37,AFS,39.4,None,Antibiotics + Isolation,-15.6
Contagious,1,487.7,53,AFS,39.4,None,Antibiotics + Isolation,-15.7
Healthy,0,488.9,23,AFS,38.5,None,No Treatment Required,0.0
FMD,2,508.0,68,AFS,40.6,None,Antiviral + Quarantine,-24.8
Ringworm,1,477.8,92,AFS,39.5,Contagious,Topical Treatment + Monitoring,-6.6
Contagious,2,479.3,70,AFS,41.5,Pediculosis,Antibiotics + Isolation,-23.8
Dermatophilosis,1,549.9,37,AFS,39.5,Pediculosis,Antibiotics + Isolation,-13.9
Lumpy Skin,1,388.5,83,AFS,39.8,Pediculosis,Antibiotics + Isolation,-15.1
Mastitis,0,441.0,70,AFS,38.9,None,Anti-inflammatory + Rest,-5.6
FMD,1,446.2,14,AFS,39.6,None,Antibiotics + Isolation,-14.1
Healthy,0,464.5,15,AFS,38.7,None,No Treatment Required,0.0
Dermatophilosis,1,435.4,77,AFS,39.0,Mastitis,Antibiotics + Isolation,-13.9
Pediculosis,0,426.8,50,AFS,38.5,None,Antiparasitic + Monitoring,-5.6
Mastitis,1,475.5,67,AFS,39.2,None,Anti-inflammatory + Rest,-13.6
Pediculosis,1,497.5,60,AFS,39.1,None,Antiparasitic + Monitoring,-8.9
Healthy,0,493.1,48,AFS,38.3,None,No Treatment Required,0.0
Mastitis,0,371.9,79,AFS,38.6,Pediculosis,Anti-inflammatory + Rest,-4.9
FMD,1,546.5,74,AFS,39.8,None,Antibiotics + Isolation,-14.5
Contagious,1,363.0,83,AFS,39.8,None,Antibiotics + Isolation,-13.6
Lumpy Skin,0,359.4,68,AFS,38.6,None,Topical Treatment + Monitoring,-3.9
Mastitis,2,476.0,60,AFS,40.7,None,Antibiotics + Isolation,-19.9
FMD,0,501.6,73,AFS,39.0,Mastitis,Supportive Care Only,-5.1
Lumpy Skin,0,457.4,84,AFS,38.9,Mastitis,Topical Treatment + Monitoring,-5.2
Ringworm,0,375.9,20,AFS,38.5,Mastitis,Topical Treatment + Monitoring,-4.9
Pediculosis,1,460.2,70,AFS,39.2,None,Antiparasitic + Monitoring,-10.0
FMD,1,449.2,81,AFS,39.8,None,Antibiotics + Isolation,-13.4
Lumpy Skin,2,449.0,73,AFS,40.8,Lumpy Skin,Antiviral + Quarantine,-23.6
Dermatophilosis,1,522.9,44,AFS,39.7,FMD,Antibiotics + Isolation,-11.4
Contagious,0,382.1,24,AFS,38.9,Contagious,Antibiotics + Isolation,-7.3
Pediculosis,1,387.8,16,AFS,39.7,Mastitis,Antiparasitic + Monitoring,-9.9
Pediculosis,0,514.0,64,AFS,38.9,None,Antiparasitic + Monitoring,-2.7
Mastitis,1,401.7,77,AFS,39.2,None,Anti-inflammatory + Rest,-10.1
Contagious,0,425.3,75,AFS,38.8,FMD,Antibiotics + Isolation,-9.6
Mastitis,0,436.4,74,AFS,38.7,None,Anti-inflammatory + Rest,-5.0
Mastitis,2,487.6,79,AFS,40.3,Dermatophilosis,Antibiotics + Isolation,-21.7
Dermatophilosis,1,361.6,93,AFS,39.7,Ringworm,Antibiotics + Isolation,-10.1
Healthy,0,479.5,63,AFS,38.7,None,No Treatment Required,0.0
FMD,2,424.4,43,AFS,41.1,Contagious,Antiviral + Quarantine,-25.2
Mastitis,1,538.9,24,AFS,39.7,None,Anti-inflammatory + Rest,-10.7
FMD,0,366.5,89,AFS,38.6,None,Supportive Care Only,-3.5
Mastitis,0,436.5,32,AFS,39.0,Mastitis,Anti-inflammatory + Rest,-4.1
FMD,0,546.8,12,AFS,38.7,Dermatophilosis,Supportive Care Only,-4.0
FMD,0,480.3,23,AFS,38.8,None,Supportive Care Only,-4.8
Healthy,0,387.1,28,AFS,38.3,None,No Treatment Required,0.0
FMD,2,502.2,14,AFS,41.2,None,Antiviral + Quarantine,-23.4
Dermatophilosis,1,509.3,36,AFS,39.0,None,Antibiotics + Isolation,-11.6
Healthy,0,436.1,49,AFS,38.4,None,No Treatment Required,0.0
Mastitis,1,403.8,83,AFS,39.2,None,Anti-inflammatory + Rest,-14.0
Dermatophilosis,1,429.1,49,AFS,39.2,Contagious,Antibiotics + Isolation,-10.6
Mastitis,2,494.9,62,AFS,40.0,None,Antibiotics + Isolation,-18.1
Ringworm,0,446.5,31,AFS,38.7,FMD,Topical Treatment + Monitoring,-1.2
Contagious,1,367.6,88,AFS,39.1,Lumpy Skin,Antibiotics + Isolation,-14.6
Pediculosis,0,463.5,57,AFS,38.8,Lumpy Skin,Antiparasitic + Monitoring,-5.8
Healthy,0,370.9,86,AFS,38.4,Mastitis,No Treatment Required,0.0
Contagious,2,360.4,43,AFS,40.3,Pediculosis,Antibiotics + Isolation,-20.2
Healthy,0,510.3,73,AFS,38.6,None,No Treatment Required,0.0
FMD,2,459.5,69,AFS,41.1,None,Antiviral + Quarantine,-26.8
Healthy,0,496.3,86,AFS,38.7,None,No Treatment Required,0.0
Healthy,0,381.9,56,AFS,38.6,None,No Treatment Required,0.0
Mastitis,0,386.4,64,AFS,38.8,None,Anti-inflammatory + Rest,-5.8
Dermatophilosis,1,416.5,67,AFS,39.8,Contagious,Antibiotics + Isolation,-13.2
FMD,0,433.7,90,AFS,38.6,None,Supportive Care Only,-3.5
Pediculosis,1,519.2,48,AFS,39.3,None,Antiparasitic + Monitoring,-6.0
Ringworm,1,452.8,47,AFS,39.0,None,Topical Treatment + Monitoring,-7.6
Pediculosis,2,434.3,53,AFS,41.5,None,Antiparasitic + Monitoring,-12.6
FMD,1,476.3,26,AFS,39.2,FMD,Antibiotics + Isolation,-15.4
Mastitis,0,397.5,89,AFS,38.8,None,Anti-inflammatory + Rest,-7.7
Contagious,0,524.1,25,AFS,38.8,None,Antibiotics + Isolation,-7.6
Mastitis,1,412.4,39,AFS,39.2,Contagious,Anti-inflammatory + Rest,-12.7
Ringworm,1,429.3,34,AFS,39.4,None,Topical Treatment + Monitoring,-9.7
Mastitis,0,439.8,87,AFS,38.9,None,Anti-inflammatory + Rest,-7.0
FMD,2,400.5,95,AFS,40.4,None,Antiviral + Quarantine,-25.6
Healthy,0,444.9,55,AFS,38.5,Mastitis,No Treatment Required,0.0
Mastitis,0,372.4,89,AFS,38.5,None,Anti-inflammatory + Rest,-4.3
Lumpy Skin,1,394.9,70,AFS,39.3,None,Antibiotics + Isolation,-16.8
Dermatophilosis,0,446.0,54,AFS,38.5,None,Topical Treatment + Monitoring,-3.1
Pediculosis,1,453.1,61,AFS,39.3,None,Antiparasitic + Monitoring,-9.5
Mastitis,0,490.9,19,AFS,39.0,None,Anti-inflammatory + Rest,-5.3
Ringworm,0,542.7,58,AFS,38.8,Lumpy Skin,Topical Treatment + Monitoring,-1.2
Dermatophilosis,0,398.8,37,AFS,38.9,None,Topical Treatment + Monitoring,-6.9
Ringworm,1,533.7,12,AFS,39.2,Contagious,Topical Treatment + Monitoring,-8.4
Lumpy Skin,1,419.7,77,AFS,39.8,None,Antibiotics + Isolation,-13.1
Contagious,2,500.5,88,AFS,40.3,None,Antibiotics + Isolation,-21.4
Mastitis,0,483.5,81,AFS,39.0,Mastitis,Anti-inflammatory + Rest,-6.7
Lumpy Skin,2,374.0,65,AFS,40.9,None,Antiviral + Quarantine,-22.5
Dermatophilosis,0,489.1,71,AFS,38.8,None,Topical Treatment + Monitoring,-4.8
FMD,0,364.6,83,AFS,38.8,None,Supportive Care Only,-5.1
FMD,1,540.3,77,AFS,39.4,None,Antibiotics + Isolation,-15.6
Healthy,0,379.8,59,AFS,38.6,None,No Treatment Required,0.0
Pediculosis,0,459.9,57,AFS,38.9,Ringworm,Antiparasitic + Monitoring,-5.9
Pediculosis,1,529.3,26,AFS,39.2,Pediculosis,Antiparasitic + Monitoring,-9.8
Lumpy Skin,1,388.9,89,AFS,39.4,None,Antibiotics + Isolation,-15.9
FMD,2,456.5,19,AFS,40.3,None,Antiviral + Quarantine,-24.1
Contagious,2,514.6,86,AFS,40.0,Mastitis,Antibiotics + Isolation,-20.8
Pediculosis,1,371.4,53,AFS,39.1,Pediculosis,Antiparasitic + Monitoring,-8.3
Mastitis,2,460.0,56,AFS,40.9,Ringworm,Antibiotics + Isolation,-19.6
Mastitis,1,468.7,37,AFS,39.2,None,Anti-inflammatory + Rest,-12.4
Lumpy Skin,2,504.0,60,AFS,40.2,FMD,Antiviral + Quarantine,-23.9
FMD,2,484.3,29,AFS,41.1,None,Antiviral + Quarantine,-25.3
Lumpy Skin,0,497.4,44,AFS,38.6,None,Topical Treatment + Monitoring,-6.9
Pediculosis,0,391.2,22,AFS,38.6,None,Antiparasitic + Monitoring,-3.6
Mastitis,0,404.9,18,AFS,38.8,None,Anti-inflammatory + Rest,-6.3
Pediculosis,1,353.2,35,AFS,39.1,None,Antiparasitic + Monitoring,-7.1
Dermatophilosis,2,504.5,47,AFS,39.9,Mastitis,Antibiotics + Isolation,-19.2
Ringworm,0,418.7,79,AFS,38.7,Lumpy Skin,Topical Treatment + Monitoring,-2.3
Healthy,0,396.7,32,AFS,38.4,None,No Treatment Required,0.0
FMD,1,414.9,14,AFS,39.2,None,Antibiotics + Isolation,-15.5
Mastitis,1,496.1,41,AFS,39.3,None,Anti-inflammatory + Rest,-13.6
Lumpy Skin,0,488.0,66,AFS,38.8,None,Topical Treatment + Monitoring,-5.2
Ringworm,0,410.2,19,AFS,38.9,Pediculosis,Topical Treatment + Monitoring,-4.1
Healthy,0,544.8,16,AFS,38.7,FMD,No Treatment Required,0.0
Contagious,2,454.2,81,AFS,40.2,FMD,Antibiotics + Isolation,-20.5
Lumpy Skin,2,506.4,25,AFS,40.0,None,Antiviral + Quarantine,-23.6
Contagious,0,537.4,84,AFS,38.8,Lumpy Skin,Antibiotics + Isolation,-8.9
Dermatophilosis,1,453.1,46,AFS,39.6,None,Antibiotics + Isolation,-11.7
Healthy,0,391.7,60,AFS,38.4,Lumpy Skin,No Treatment Required,0.0
FMD,1,456.5,89,AFS,39.6,FMD,Antibiotics + Isolation,-15.8
Contagious,0,354.6,13,AFS,38.6,Ringworm,Antibiotics + Isolation,-7.7
Dermatophilosis,2,376.5,65,AFS,40.3,None,Antibiotics + Isolation,-19.4
Ringworm,1,385.0,14,AFS,39.8,Lumpy Skin,Topical Treatment + Monitoring,-7.3
Dermatophilosis,0,355.2,36,AFS,38.6,None,Topical Treatment + Monitoring,-3.9
Ringworm,1,412.4,89,AFS,39.7,None,Topical Treatment + Monitoring,-6.6
Ringworm,0,473.9,71,AFS,38.7,None,Topical Treatment + Monitoring,-2.7
Dermatophilosis,1,361.6,22,AFS,39.6,None,Antibiotics + Isolation,-12.8
Pediculosis,0,378.4,84,AFS,38.9,None,Antiparasitic + Monitoring,-5.3
Ringworm,0,451.9,51,AFS,38.9,None,Topical Treatment + Monitoring,-3.8
Healthy,0,481.1,49,AFS,38.5,None,No Treatment Required,0.0
Healthy,0,431.0,18,AFS,38.6,None,No Treatment Required,0.0
Pediculosis,1,503.9,66,AFS,39.3,None,Antiparasitic + Monitoring,-9.9
Pediculosis,1,486.2,50,AFS,39.5,None,Antiparasitic + Monitoring,-6.7
Lumpy Skin,2,510.3,56,AFS,39.9,None,Antiviral + Quarantine,-23.9
FMD,1,518.9,66,AFS,39.1,None,Antibiotics + Isolation,-13.5
Ringworm,1,445.2,63,AFS,39.7,None,Topical Treatment + Monitoring,-6.2
Contagious,2,507.4,20,AFS,41.4,Lumpy Skin,Antibiotics + Isolation,-23.7
Contagious,2,357.7,71,AFS,41.1,Lumpy Skin,Antibiotics + Isolation,-22.0
Ringworm,2,477.3,90,AFS,41.3,None,Antifungal + Topical Care,-8.5
Lumpy Skin,1,452.4,19,AFS,39.0,None,Antibiotics + Isolation,-14.1
Lumpy Skin,2,371.1,28,AFS,41.4,Dermatophilosis,Antiviral + Quarantine,-23.6
Mastitis,2,544.1,94,AFS,40.9,None,Antibiotics + Isolation,-21.3
Lumpy Skin,1,516.1,19,AFS,39.2,None,Antibiotics + Isolation,-16.7
Healthy,0,529.8,19,AFS,38.7,None,No Treatment Required,0.0
Dermatophilosis,1,352.1,47,AFS,39.5,FMD,Antibiotics + Isolation,-11.4
Dermatophilosis,1,529.2,21,AFS,39.6,None,Antibiotics + Isolation,-10.1
Mastitis,1,534.1,27,AFS,39.6,Contagious,Anti-inflammatory + Rest,-13.5
Pediculosis,0,469.7,84,AFS,38.7,None,Antiparasitic + Monitoring,-4.2
Contagious,0,404.8,95,AFS,38.6,None,Antibiotics + Isolation,-6.5
Ringworm,2,484.3,50,AFS,41.2,Pediculosis,Antifungal + Topical Care,-11.0
Lumpy Skin,0,545.7,57,AFS,38.9,FMD,Topical Treatment + Monitoring,-4.4
FMD,0,500.6,33,AFS,38.8,Dermatophilosis,Supportive Care Only,-6.6
Lumpy Skin,1,513.6,90,AFS,39.4,Lumpy Skin,Antibiotics + Isolation,-14.1
FMD,1,498.7,14,AFS,39.2,None,Antibiotics + Isolation,-14.2
Pediculosis,1,525.4,19,AFS,39.4,None,Antiparasitic + Monitoring,-9.0
Lumpy Skin,2,405.6,75,AFS,41.2,None,Antiviral + Quarantine,-22.8
Ringworm,2,473.0,77,AFS,40.4,FMD,Antifungal + Topical Care,-9.8
Mastitis,2,518.0,23,AFS,41.1,None,Antibiotics + Isolation,-18.2
Contagious,1,501.3,81,AFS,39.7,Ringworm,Antibiotics + Isolation,-14.5
Lumpy Skin,1,506.1,37,AFS,39.3,None,Antibiotics + Isolation,-14.2
Lumpy Skin,0,383.4,71,AFS,38.9,None,Topical Treatment + Monitoring,-4.6
Healthy,0,452.0,14,AFS,38.3,None,No Treatment Required,0.0
