Eating_Time,Lying_Time,Standing_Time,Walking_Time,Label
23,913,28,0,Sick
154,370,329,22,Healthy
249,543,114,51,Healthy
257,489,190,25,Healthy
34,764,21,1,Sick
57,755,148,8,Sick
179,464,391,49,Healthy
54,955,38,7,Sick
1,977,190,7,Sick
228,581,368,31,Healthy
25,944,173,5,Sick
159,390,226,35,Healthy
204,501,110,47,Healthy
277,308,118,53,Healthy
4,825,31,1,Sick
144,335,268,60,Healthy
139,434,320,39,Healthy
129,392,173,22,Healthy
60,702,25,10,Sick
25,720,122,0,Sick
157,364,392,24,Healthy
238,437,154,45,Healthy
248,364,139,39,Healthy
40,960,148,2,Sick
287,315,203,45,Healthy
212,326,260,24,Healthy
51,938,185,8,Sick
265,476,350,32,Healthy
35,941,188,6,Sick
218,465,263,24,Healthy
292,542,379,55,Healthy
248,514,199,50,Healthy
134,312,149,34,Healthy
258,466,252,37,Healthy
148,367,325,58,Healthy
24,909,100,3,Sick
60,822,42,3,Sick
222,327,256,23,Healthy
28,835,169,5,Sick
240,495,152,46,Healthy
43,887,111,5,Sick
53,879,74,7,Sick
43,895,180,1,Sick
32,987,149,3,Sick
223,364,336,55,Healthy
13,979,176,0,Sick
237,546,127,57,Healthy
129,351,166,59,Healthy
216,326,383,39,Healthy
26,715,94,2,Sick
40,973,98,1,Sick
34,935,10,0,Sick
40,832,138,3,Sick
295,526,177,51,Healthy
149,491,103,32,Healthy
32,939,156,1,Sick
48,974,188,10,Sick
238,437,237,31,Healthy
6,957,84,7,Sick
192,574,228,59,Healthy
186,542,298,30,Healthy
233,537,379,29,Healthy
53,810,57,7,Sick
26,899,161,3,Sick
298,346,171,49,Healthy
244,487,291,55,Healthy
17,750,19,0,Sick
38,980,93,6,Sick
280,555,194,24,Healthy
290,495,293,26,Healthy
177,380,384,22,Healthy
135,599,144,47,Healthy
51,724,114,9,Sick
192,413,154,38,Healthy
139,375,257,39,Healthy
175,358,215,52,Healthy
171,596,269,31,Healthy
265,329,181,48,Healthy
59,705,23,4,Sick
232,363,399,24,Healthy
254,349,283,58,Healthy
160,458,144,52,Healthy
0,706,170,6,Sick
56,924,155,3,Sick
175,420,136,48,Healthy
39,738,1,4,Sick
125,375,145,41,Healthy
199,479,300,37,Healthy
284,468,252,46,Healthy
5,943,77,8,Sick
272,303,231,46,Healthy
59,907,166,8,Sick
225,559,316,25,Healthy
236,533,103,37,Healthy
165,318,247,40,Healthy
7,706,175,7,Sick
155,468,108,39,Healthy
46,759,58,7,Sick
130,405,335,34,Healthy
149,516,279,55,Healthy
49,723,1,2,Sick
193,326,123,27,Healthy
54,876,5,6,Sick
271,390,208,29,Healthy
131,557,191,58,Healthy
60,712,2,0,Sick
289,527,102,31,Healthy
39,773,143,10,Sick
59,740,94,5,Sick
294,395,161,25,Healthy
197,423,188,40,Healthy
161,307,235,31,Healthy
263,393,192,59,Healthy
198,453,328,30,Healthy
36,748,191,0,Sick
178,338,173,44,Healthy
279,506,259,58,Healthy
179,320,265,24,Healthy
225,389,104,54,Healthy
131,383,109,53,Healthy
282,407,382,60,Healthy
204,443,196,28,Healthy
28,899,152,1,Sick
3,939,86,1,Sick
163,427,109,50,Healthy
45,785,78,5,Sick
162,306,361,52,Healthy
38,1000,140,3,Sick
45,723,60,3,Sick
230,349,290,47,Healthy
60,898,120,6,Sick
246,431,190,48,Healthy
181,434,378,39,Healthy
217,568,321,32,Healthy
14,934,116,9,Sick
50,999,92,6,Sick
270,413,246,49,Healthy
267,589,301,45,Healthy
196,576,260,32,Healthy
9,839,141,2,Sick
166,442,232,48,Healthy
181,598,147,50,Healthy
145,536,277,20,Healthy
13,742,33,3,Sick
289,563,144,40,Healthy
171,542,159,58,Healthy
26,991,193,0,Sick
215,336,208,25,Healthy
189,444,253,38,Healthy
226,398,189,48,Healthy
216,554,383,39,Healthy
19,780,128,3,Sick
15,788,199,4,Sick
0,896,77,6,Sick
290,487,198,26,Healthy
11,823,137,9,Sick
58,936,102,10,Sick
121,309,307,32,Healthy
267,443,319,59,Healthy
8,722,86,3,Sick
244,598,343,50,Healthy
211,564,252,54,Healthy
56,736,64,8,Sick
250,530,227,51,Healthy
276,329,362,40,Healthy
7,775,105,5,Sick
33,985,94,7,Sick
295,324,210,33,Healthy
43,809,185,6,Sick
242,520,334,41,Healthy
4,737,13,5,Sick
11,765,86,5,Sick
135,497,233,34,Healthy
9,949,173,0,Sick
11,717,159,8,Sick
36,810,152,7,Sick
40,847,100,6,Sick
130,598,386,59,Healthy
131,349,243,46,Healthy
25,735,128,1,Sick
211,443,125,33,Healthy
242,597,194,27,Healthy
60,775,3,0,Sick
34,704,160,6,Sick
55,723,80,8,Sick
24,810,143,7,Sick
133,355,382,34,Healthy
195,343,176,52,Healthy
148,307,173,26,Healthy
23,930,141,3,Sick
36,963,76,3,Sick
9,796,120,9,Sick
45,935,117,0,Sick
135,359,155,33,Healthy
17,968,73,2,Sick
42,848,79,10,Sick
272,544,242,36,Healthy
201,380,273,49,Healthy
213,455,125,48,Healthy
27,787,113,2,Sick
55,798,123,4,Sick
5,831,135,5,Sick
1,800,63,5,Sick
45,790,101,1,Sick
1,919,166,3,Sick
275,598,248,27,Healthy
4,999,135,6,Sick
2,989,149,7,Sick
59,881,183,3,Sick
42,819,192,8,Sick
58,982,131,3,Sick
202,446,323,44,Healthy
38,849,181,0,Sick
36,750,157,3,Sick
12,710,100,10,Sick
53,841,161,2,Sick
258,469,281,30,Healthy
56,921,110,7,Sick
225,369,334,48,Healthy
27,713,20,3,Sick
161,354,112,33,Healthy
195,502,227,60,Healthy
148,505,170,38,Healthy
54,764,180,5,Sick
60,796,197,4,Sick
2,951,2,5,Sick
50,975,82,2,Sick
34,845,27,7,Sick
27,841,86,2,Sick
9,1000,59,8,Sick
24,715,158,4,Sick
222,324,268,41,Healthy
219,572,281,39,Healthy
135,352,159,49,Healthy
132,382,119,29,Healthy
121,469,373,49,Healthy
39,921,191,0,Sick
14,943,124,2,Sick
122,406,192,57,Healthy
0,882,161,5,Sick
234,395,226,34,Healthy
167,535,200,21,Healthy
242,339,156,47,Healthy
52,852,79,10,Sick
18,774,52,9,Sick
266,549,211,53,Healthy
18,856,198,3,Sick
182,448,399,22,Healthy
278,565,394,40,Healthy
0,972,79,2,Sick
163,528,201,31,Healthy
277,396,118,59,Healthy
230,583,174,57,Healthy
9,914,15,2,Sick
26,714,127,4,Sick
252,446,158,23,Healthy
206,341,326,22,Healthy
263,480,191,25,Healthy
34,998,132,1,Sick
247,541,282,29,Healthy
50,963,64,4,Sick
258,508,319,51,Healthy
34,981,163,2,Sick
8,914,86,5,Sick
34,996,85,3,Sick
21,805,151,6,Sick
1,941,173,8,Sick
1,874,97,8,Sick
236,585,357,35,Healthy
127,420,366,30,Healthy
222,505,146,47,Healthy
157,484,270,41,Healthy
123,309,146,56,Healthy
47,795,119,7,Sick
30,945,64,0,Sick
153,414,246,27,Healthy
177,372,392,30,Healthy
148,388,238,57,Healthy
160,433,172,59,Healthy
50,908,33,4,Sick
2,791,174,3,Sick
245,471,175,33,Healthy
151,394,170,45,Healthy
172,380,296,45,Healthy
280,373,350,28,Healthy
27,828,20,0,Sick
40,824,175,2,Sick
23,918,198,9,Sick
284,498,194,29,Healthy
47,719,44,3,Sick
222,549,226,21,Healthy
156,340,169,33,Healthy
0,720,126,0,Sick
57,917,61,0,Sick
20,912,128,9,Sick
128,497,251,23,Healthy
154,315,280,58,Healthy
192,445,250,35,Healthy
120,588,326,30,Healthy
2,847,8,6,Sick
241,364,219,35,Healthy
150,439,285,52,Healthy
6,917,106,10,Sick
11,703,146,6,Sick
193,454,174,48,Healthy
3,721,110,5,Sick
49,891,173,3,Sick
206,418,294,33,Healthy
210,462,165,49,Healthy
243,502,326,39,Healthy
209,532,151,38,Healthy
297,389,379,54,Healthy
264,338,168,30,Healthy
46,897,133,2,Sick
4,759,17,7,Sick
30,976,158,5,Sick
38,950,62,0,Sick
126,580,295,20,Healthy
173,539,265,60,Healthy
13,792,188,10,Sick
177,593,285,56,Healthy
142,579,104,55,Healthy
59,989,99,1,Sick
187,547,230,41,Healthy
146,414,103,20,Healthy
53,980,143,6,Sick
41,761,61,1,Sick
30,945,175,6,Sick
183,307,103,41,Healthy
237,488,191,46,Healthy
251,575,220,24,Healthy
227,401,248,32,Healthy
181,549,391,44,Healthy
141,410,180,20,Healthy
45,823,84,1,Sick
28,920,51,2,Sick
51,737,83,7,Sick
144,580,396,32,Healthy
30,958,6,2,Sick
256,593,278,20,Healthy
50,977,60,1,Sick
19,997,72,5,Sick
217,480,157,45,Healthy
13,772,183,7,Sick
10,752,194,2,Sick
283,524,174,60,Healthy
14,804,2,9,Sick
254,331,195,53,Healthy
11,969,1,0,Sick
265,452,323,23,Healthy
154,600,363,30,Healthy
257,340,158,57,Healthy
198,581,269,54,Healthy
54,879,183,8,Sick
206,467,253,44,Healthy
38,955,185,3,Sick
52,832,123,3,Sick
16,840,158,7,Sick
25,919,62,8,Sick
31,971,32,2,Sick
28,879,91,2,Sick
217,556,233,60,Healthy
250,313,330,34,Healthy
0,771,21,6,Sick
276,403,265,21,Healthy
221,370,190,39,Healthy
11,730,18,9,Sick
30,995,137,7,Sick
45,797,163,10,Sick
40,988,98,7,Sick
14,708,169,10,Sick
31,942,178,0,Sick
15,836,127,10,Sick
15,729,53,6,Sick
22,709,71,8,Sick
20,860,169,2,Sick
16,873,29,8,Sick
281,565,113,49,Healthy
241,544,161,27,Healthy
144,557,321,24,Healthy
46,720,24,3,Sick
44,872,185,4,Sick
167,469,345,60,Healthy
25,767,193,8,Sick
7,971,104,6,Sick
223,442,134,53,Healthy
157,508,304,57,Healthy
198,544,215,38,Healthy
168,334,365,31,Healthy
40,810,52,3,Sick
151,576,202,21,Healthy
199,312,229,52,Healthy
284,593,164,52,Healthy
226,380,151,55,Healthy
292,546,206,57,Healthy
19,825,190,0,Sick
1,905,170,10,Sick
138,347,165,37,Healthy
194,482,361,24,Healthy
257,309,274,48,Healthy
265,390,174,58,Healthy
216,597,179,57,Healthy
289,483,339,23,Healthy
31,880,143,3,Sick
292,577,359,51,Healthy
22,753,177,2,Sick
286,534,330,35,Healthy
10,987,53,1,Sick
168,377,294,55,Healthy
56,820,155,2,Sick
27,925,51,3,Sick
205,397,288,34,Healthy
139,427,349,29,Healthy
57,788,93,5,Sick
17,928,16,7,Sick
199,578,398,41,Healthy
141,447,300,54,Healthy
159,588,173,47,Healthy
14,896,101,0,Sick
4,780,67,10,Sick
3,895,168,3,Sick
299,525,207,56,Healthy
164,419,167,30,Healthy
47,977,161,1,Sick
208,316,117,30,Healthy
225,434,397,50,Healthy
159,313,374,53,Healthy
206,371,179,37,Healthy
287,311,200,42,Healthy
227,369,233,27,Healthy
5,844,137,1,Sick
276,397,202,44,Healthy
167,455,370,26,Healthy
190,545,133,42,Healthy
47,942,152,5,Sick
177,497,240,32,Healthy
161,444,156,30,Healthy
249,438,370,47,Healthy
133,563,292,45,Healthy
4,838,112,1,Sick
49,761,156,6,Sick
234,384,101,33,Healthy
234,321,276,37,Healthy
200,569,274,36,Healthy
21,853,169,7,Sick
205,423,243,20,Healthy
58,953,93,2,Sick
12,786,20,6,Sick
146,576,247,47,Healthy
186,421,119,49,Healthy
20,894,51,1,Sick
22,965,140,6,Sick
15,958,34,0,Sick
3,886,113,6,Sick
57,852,18,1,Sick
31,935,112,10,Sick
40,994,35,6,Sick
283,343,218,41,Healthy
176,377,212,46,Healthy
17,771,195,6,Sick
10,969,151,3,Sick
43,766,152,4,Sick
56,803,90,4,Sick
5,715,26,5,Sick
24,982,194,5,Sick
200,579,192,27,Healthy
18,885,2,5,Sick
149,403,304,46,Healthy
180,526,242,47,Healthy
16,827,183,3,Sick
252,503,200,37,Healthy
204,412,257,46,Healthy
33,757,65,9,Sick
52,926,111,8,Sick
231,593,374,57,Healthy
274,598,178,28,Healthy
42,834,84,0,Sick
46,952,145,10,Sick
228,384,191,48,Healthy
273,508,346,37,Healthy
225,479,280,47,Healthy
245,444,387,33,Healthy
30,749,200,9,Sick
128,581,227,36,Healthy
258,401,258,31,Healthy
208,575,298,51,Healthy
148,399,290,55,Healthy
4,736,120,5,Sick
213,473,360,35,Healthy
125,449,398,47,Healthy
8,942,189,3,Sick
48,895,39,5,Sick
133,320,373,31,Healthy
167,477,228,29,Healthy
190,591,227,55,Healthy
272,564,257,21,Healthy
278,532,292,49,Healthy
6,910,84,7,Sick
204,483,212,59,Healthy
35,953,66,8,Sick
124,303,242,36,Healthy
19,877,78,7,Sick
276,347,160,56,Healthy
222,531,375,51,Healthy
212,488,397,25,Healthy
36,976,34,6,Sick
40,777,38,5,Sick
40,749,92,4,Sick
20,740,162,2,Sick
198,332,237,46,Healthy
165,444,200,50,Healthy
232,420,255,20,Healthy
135,576,360,47,Healthy
197,391,205,52,Healthy
49,987,30,2,Sick
186,387,181,27,Healthy
182,313,216,23,Healthy
175,366,179,39,Healthy
251,408,391,41,Healthy
277,499,197,27,Healthy
33,841,71,9,Sick
179,513,302,42,Healthy
38,867,157,10,Sick
9,824,99,2,Sick
281,353,235,22,Healthy
207,417,307,22,Healthy
3,917,98,6,Sick
221,394,135,28,Healthy
202,367,314,46,Healthy
6,869,76,6,Sick
195,493,226,34,Healthy
189,337,379,49,Healthy
4,759,115,9,Sick
219,431,164,52,Healthy
60,748,36,7,Sick
219,458,214,49,Healthy
39,964,72,7,Sick
157,383,120,39,Healthy
39,941,146,9,Sick
5,995,97,6,Sick
44,753,162,3,Sick
57,956,39,1,Sick
185,586,245,25,Healthy
54,778,172,8,Sick
161,479,171,41,Healthy
206,434,229,22,Healthy
130,491,327,50,Healthy
185,397,262,42,Healthy
286,429,148,56,Healthy
142,331,164,30,Healthy
24,877,98,8,Sick
250,573,399,30,Healthy
50,810,68,4,Sick
11,865,188,0,Sick
35,962,123,7,Sick
18,841,93,7,Sick
27,821,96,6,Sick
223,355,390,34,Healthy
0,920,5,1,Sick
212,450,282,45,Healthy
28,882,46,6,Sick
35,990,9,4,Sick
207,310,106,21,Healthy
39,701,160,3,Sick
193,478,147,44,Healthy
54,781,143,0,Sick
173,414,190,20,Healthy
162,382,398,55,Healthy
43,892,14,0,Sick
49,929,92,3,Sick
126,576,390,22,Healthy
54,837,97,6,Sick
152,356,305,22,Healthy
297,551,345,25,Healthy
22,882,60,4,Sick
180,426,200,22,Healthy
5,782,140,10,Sick
200,557,141,59,Healthy
246,455,234,40,Healthy
233,438,204,31,Healthy
44,896,138,8,Sick
11,862,3,3,Sick
207,395,312,50,Healthy
59,939,35,10,Sick
257,550,165,53,Healthy
256,587,118,42,Healthy
12,915,191,7,Sick
217,585,329,39,Healthy
273,332,323,28,Healthy
20,813,65,1,Sick
283,303,376,51,Healthy
255,483,151,30,Healthy
3,792,84,9,Sick
16,710,138,0,Sick
40,921,63,10,Sick
60,751,110,9,Sick
184,402,179,60,Healthy
38,968,49,10,Sick
231,391,110,22,Healthy
54,865,60,8,Sick
242,375,230,36,Healthy
152,494,151,25,Healthy
230,301,300,38,Healthy
31,816,76,1,Sick
3,879,192,1,Sick
38,752,102,5,Sick
46,990,66,3,Sick
51,904,8,9,Sick
6,809,133,3,Sick
154,462,329,39,Healthy
201,340,241,24,Healthy
166,568,377,48,Healthy
236,442,157,59,Healthy
185,395,392,55,Healthy
27,716,172,0,Sick
160,455,284,34,Healthy
57,969,34,6,Sick
8,985,161,4,Sick
181,434,109,20,Healthy
6,928,71,7,Sick
123,343,302,45,Healthy
161,428,173,45,Healthy
35,709,87,5,Sick
57,763,143,2,Sick
47,994,62,2,Sick
38,901,14,0,Sick
59,781,59,2,Sick
130,573,375,37,Healthy
48,963,136,2,Sick
5,987,94,2,Sick
7,947,162,1,Sick
156,468,357,34,Healthy
13,943,156,9,Sick
53,890,85,9,Sick
253,392,194,24,Healthy
23,718,133,1,Sick
11,717,119,0,Sick
54,882,72,0,Sick
150,409,397,39,Healthy
57,838,163,1,Sick
11,753,193,4,Sick
166,549,226,52,Healthy
161,600,132,43,Healthy
53,768,30,7,Sick
207,520,284,29,Healthy
240,492,333,59,Healthy
8,737,173,2,Sick
59,834,78,9,Sick
38,926,93,10,Sick
292,464,178,49,Healthy
231,494,367,59,Healthy
153,337,327,53,Healthy
42,888,29,5,Sick
256,596,129,46,Healthy
297,461,278,32,Healthy
220,385,284,49,Healthy
254,557,139,42,Healthy
185,573,311,41,Healthy
159,420,106,32,Healthy
24,935,173,7,Sick
53,917,57,8,Sick
45,979,28,4,Sick
241,533,309,22,Healthy
137,364,204,35,Healthy
13,880,134,1,Sick
285,348,215,32,Healthy
188,501,393,23,Healthy
17,785,90,8,Sick
5,968,88,9,Sick
210,524,317,24,Healthy
0,789,156,2,Sick
1,832,33,1,Sick
9,917,190,10,Sick
13,837,77,2,Sick
43,795,89,7,Sick
34,733,48,10,Sick
17,934,142,3,Sick
10,798,43,0,Sick
50,915,36,2,Sick
57,935,39,8,Sick
15,853,55,0,Sick
271,398,181,48,Healthy
14,934,60,7,Sick
36,958,112,1,Sick
271,449,318,20,Healthy
131,417,169,21,Healthy
19,890,10,5,Sick
29,976,148,5,Sick
26,821,40,3,Sick
163,543,353,60,Healthy
245,581,107,27,Healthy
48,796,169,4,Sick
22,736,122,5,Sick
25,907,7,10,Sick
31,810,25,3,Sick
24,969,82,0,Sick
160,527,112,26,Healthy
201,489,223,58,Healthy
294,428,132,59,Healthy
260,560,103,26,Healthy
20,991,150,8,Sick
270,442,364,48,Healthy
182,364,140,40,Healthy
35,912,37,10,Sick
252,531,186,58,Healthy
149,543,159,50,Healthy
22,959,24,5,Sick
149,384,265,52,Healthy
277,544,167,37,Healthy
193,529,177,31,Healthy
121,548,395,53,Healthy
201,558,164,42,Healthy
132,461,166,23,Healthy
1,983,160,8,Sick
281,320,321,36,Healthy
165,436,347,41,Healthy
53,712,22,8,Sick
253,405,132,54,Healthy
7,814,98,6,Sick
209,352,299,35,Healthy
41,926,85,3,Sick
217,466,344,28,Healthy
121,405,148,53,Healthy
225,535,230,59,Healthy
25,727,64,3,Sick
2,894,123,9,Sick
215,380,202,58,Healthy
17,883,91,1,Sick
223,422,393,21,Healthy
291,521,319,38,Healthy
53,834,105,0,Sick
199,389,292,52,Healthy
135,342,210,40,Healthy
8,760,9,10,Sick
189,356,314,37,Healthy
30,888,181,5,Sick
3,903,115,10,Sick
289,578,121,35,Healthy
241,460,309,28,Healthy
55,849,90,0,Sick
236,346,129,20,Healthy
59,890,79,4,Sick
19,734,79,10,Sick
37,726,108,3,Sick
2,719,78,5,Sick
49,983,123,6,Sick
266,383,398,43,Healthy
156,547,289,20,Healthy
19,805,159,10,Sick
0,781,193,2,Sick
36,886,175,10,Sick
148,497,105,25,Healthy
268,600,125,29,Healthy
18,972,124,2,Sick
155,421,115,44,Healthy
217,548,370,28,Healthy
153,549,124,35,Healthy
204,397,136,27,Healthy
17,813,81,1,Sick
24,953,115,3,Sick
28,914,175,10,Sick
49,778,198,8,Sick
243,337,303,53,Healthy
26,793,31,2,Sick
30,764,84,0,Sick
32,882,70,9,Sick
212,410,212,46,Healthy
169,459,289,43,Healthy
6,996,146,3,Sick
277,405,117,32,Healthy
54,994,165,10,Sick
171,408,282,42,Healthy
227,591,289,48,Healthy
269,379,219,40,Healthy
285,450,141,41,Healthy
50,849,121,9,Sick
46,747,34,6,Sick
175,447,376,30,Healthy
14,995,80,7,Sick
7,882,171,10,Sick
171,588,268,34,Healthy
234,557,349,37,Healthy
3,811,108,2,Sick
227,392,134,25,Healthy
277,316,298,22,Healthy
22,700,77,7,Sick
45,718,12,0,Sick
160,408,145,52,Healthy
131,538,237,54,Healthy
34,944,18,7,Sick
298,429,353,28,Healthy
17,787,61,3,Sick
214,487,354,49,Healthy
157,510,203,60,Healthy
0,943,134,1,Sick
5,930,80,0,Sick
198,381,366,44,Healthy
181,481,155,50,Healthy
120,421,245,25,Healthy
49,988,132,2,Sick
191,542,156,46,Healthy
8,785,181,5,Sick
58,938,119,4,Sick
256,518,130,21,Healthy
32,814,146,2,Sick
286,300,316,30,Healthy
59,939,191,8,Sick
27,796,125,9,Sick
140,559,358,42,Healthy
221,413,238,53,Healthy
240,480,102,58,Healthy
215,576,382,35,Healthy
138,389,173,59,Healthy
283,525,145,47,Healthy
14,828,135,8,Sick
219,426,364,42,Healthy
25,784,76,5,Sick
222,569,338,28,Healthy
234,380,325,40,Healthy
27,858,104,3,Sick
279,402,283,35,Healthy
163,418,245,42,Healthy
260,600,301,24,Healthy
36,738,117,1,Sick
199,311,215,29,Healthy
153,418,253,32,Healthy
40,931,24,1,Sick
54,804,152,7,Sick
5,853,6,1,Sick
174,419,270,27,Healthy
18,703,72,9,Sick
157,469,156,36,Healthy
261,352,374,29,Healthy
57,878,178,0,Sick
295,555,319,35,Healthy
30,969,152,8,Sick
11,952,133,2,Sick
202,578,298,24,Healthy
289,376,235,49,Healthy
175,486,335,26,Healthy
201,378,184,24,Healthy
31,916,123,9,Sick
52,881,175,7,Sick
158,300,162,57,Healthy
39,770,152,4,Sick
229,577,298,29,Healthy
55,732,104,3,Sick
158,520,236,26,Healthy
14,982,153,4,Sick
284,492,377,53,Healthy
58,872,64,6,Sick
275,385,281,22,Healthy
20,917,8,7,Sick
55,821,55,3,Sick
142,459,334,56,Healthy
0,859,111,2,Sick
35,700,195,10,Sick
56,994,180,9,Sick
38,910,69,3,Sick
121,484,344,36,Healthy
172,569,397,52,Healthy
1,820,38,4,Sick
142,526,225,35,Healthy
2,832,155,10,Sick
191,423,249,48,Healthy
16,958,122,0,Sick
25,994,80,9,Sick
16,850,54,8,Sick
27,738,35,3,Sick
15,805,134,5,Sick
140,402,150,42,Healthy
20,802,13,9,Sick
38,907,26,4,Sick
175,510,189,33,Healthy
284,467,291,39,Healthy
263,561,306,59,Healthy
195,567,367,30,Healthy
149,542,375,40,Healthy
25,865,66,5,Sick
34,930,13,1,Sick
27,821,11,5,Sick
9,776,47,3,Sick
41,756,102,6,Sick
157,377,372,41,Healthy
286,482,363,57,Healthy
287,321,400,46,Healthy
205,469,134,49,Healthy
