Age_Months,Weight_kg,Breed,Milk_Yield_L_per_day,Health_Status,Disease,Body_Condition_Score,Location,Dry_Matter_Intake_kg_per_day,Energy_MJ_per_day,Crude_Protein_g_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Recommended_Feed_Type
78,396,Friesian,6.7,Mild,Lumpy Skin Disease,2.9,Kurunegala,10.57,112.8,954.0,55.3,35.6,Grass
69,276,Jersey,12.6,Healthy,None,3.3,Monaragala,8.16,88.7,757.0,44.1,29.1,Grass
97,598,Friesian,15.6,Healthy,None,2.4,Polonnaruwa,16.51,175.4,1527.0,106.9,59.1,Mixed
114,323,Jersey,4.3,Healthy,None,3.6,Monaragala,8.51,93.8,730.0,39.0,32.3,Grass
78,515,Local,13.7,Healthy,None,2.6,Puttalam,14.25,166.2,1251.0,90.7,46.3,Grass
96,403,Ayrshire,19.8,Healthy,None,3.1,Kurunegala,12.06,134.6,1143.0,67.8,41.8,Mixed
65,419,Friesian,17.9,Severe,Foot Rot,3.0,Matale,12.27,133.7,1264.0,76.6,45.2,Mixed
78,385,Jersey,22.3,Mild,Foot Rot,3.9,Puttalam,11.86,131.9,1132.0,70.5,46.1,Concentrate
36,598,Jersey,10.8,Healthy,None,3.5,Anuradhapura,16.03,188.1,1398.0,72.7,51.9,Grass
70,354,Local,15.2,Healthy,None,3.7,Badulla,10.37,117.1,979.0,64.3,39.6,Mixed
35,515,Jersey,7.2,Healthy,None,3.3,Puttalam,13.6,160.4,1286.0,71.4,56.3,Grass
86,425,Ayrshire,17.3,Mild,Foot Rot,2.1,Anuradhapura,12.36,140.7,1249.0,62.2,43.0,Mixed
53,535,Ayrshire,6.1,Healthy,None,2.0,Badulla,13.98,164.5,1272.0,71.0,43.2,Grass
80,412,Local,10.7,Healthy,None,3.4,Badulla,11.37,133.2,1147.0,57.4,33.8,Grass
87,444,Local,19.5,Mild,Mastitis,3.0,Puttalam,13.05,142.0,1184.0,77.4,42.9,Mixed
101,381,Local,20.1,Healthy,None,2.3,Kurunegala,11.54,133.6,1043.0,64.9,36.7,Mixed
96,550,Jersey,3.5,Healthy,None,3.0,Puttalam,14.1,160.3,1348.0,81.4,40.5,Grass
60,491,Friesian,13.9,Mild,Mastitis,3.0,Puttalam,13.67,143.6,1312.0,86.9,46.1,Grass
79,583,Jersey,1.7,Mild,Lumpy Skin Disease,3.0,Matale,14.75,161.0,1444.0,93.2,43.1,Grass
47,523,Friesian,5.5,Severe,Mastitis,3.3,Monaragala,13.63,150.5,1387.0,86.8,38.9,Grass
68,503,Jersey,13.8,Severe,Lumpy Skin Disease,2.5,Polonnaruwa,13.96,162.5,1189.0,78.7,41.2,Grass
54,482,Local,9.4,Mild,Mastitis,2.5,Anuradhapura,12.99,150.8,1226.0,63.5,38.4,Grass
111,484,Ayrshire,11.7,Mild,Mastitis,3.5,Anuradhapura,13.27,152.0,1338.0,74.8,51.2,Grass
96,577,Local,7.1,Mild,Foot Rot,3.3,Puttalam,15.14,165.4,1408.0,71.0,63.2,Grass
59,377,Friesian,9.3,Healthy,None,2.6,Badulla,10.36,112.0,1037.0,66.4,33.4,Grass
91,255,Ayrshire,11.5,Mild,Foot Rot,2.5,Badulla,7.53,81.4,741.0,40.9,22.8,Grass
82,409,Friesian,9.2,Healthy,None,2.4,Puttalam,11.15,130.7,1030.0,55.1,46.2,Grass
37,482,Ayrshire,21.8,Healthy,None,3.0,Anuradhapura,14.23,159.6,1344.0,79.3,53.1,Mixed
115,376,Friesian,8.5,Healthy,None,3.1,Monaragala,10.25,114.7,945.0,64.9,30.3,Grass
88,508,Jersey,11.4,Healthy,None,2.9,Anuradhapura,13.84,148.0,1267.0,76.7,41.0,Grass
109,548,Local,15.1,Healthy,None,3.4,Puttalam,15.21,169.8,1539.0,82.2,53.5,Mixed
90,279,Local,9.3,Mild,Lumpy Skin Disease,2.7,Matale,7.91,90.5,735.0,48.5,30.4,Grass
27,273,Local,10.6,Healthy,None,1.8,Puttalam,7.88,83.4,826.0,50.2,22.8,Grass
22,396,Local,4.4,Healthy,None,3.7,Polonnaruwa,10.34,110.4,1012.0,61.6,42.9,Grass
66,479,Local,20.2,Healthy,None,2.9,Polonnaruwa,14.0,159.4,1375.0,78.1,52.0,Mixed
33,341,Local,14.9,Healthy,None,3.2,Polonnaruwa,10.02,114.7,896.0,45.2,28.4,Grass
